replicate	nipagin	time	OD	background	OD_corrected
e	0.02	6	0.167	0.092604167	0.074395833
e	0.002	6	0.187	0.092604167	0.094395833
e	0.0002	6	0.246	0.092604167	0.153395833
e	0.00002	6	0.215	0.092604167	0.122395833
e	0.000002	6	0.224	0.092604167	0.131395833
f	0.2	6	0.095	0.092604167	0.002395833
f	0.02	6	0.261	0.092604167	0.168395833
f	0.002	6	0.258	0.092604167	0.165395833
f	0.0002	6	0.302	0.092604167	0.209395833
f	0.00002	6	0.251	0.092604167	0.158395833
f	0.000002	6	0.276	0.092604167	0.183395833
g	0.2	6	0.091	0.092604167	-0.001604167
g	0.02	6	0.182	0.092604167	0.089395833
g	0.002	6	0.222	0.092604167	0.129395833
g	0.0002	6	0.205	0.092604167	0.112395833
g	0.00002	6	0.249	0.092604167	0.156395833
g	0.000002	6	0.258	0.092604167	0.165395833
h	0.2	6	0.09	0.092604167	-0.002604167
h	0.02	6	0.217	0.092604167	0.124395833
h	0.002	6	0.308	0.092604167	0.215395833
h	0.0002	6	0.288	0.092604167	0.195395833
h	0.00002	6	0.279	0.092604167	0.186395833
h	0.000002	6	0.298	0.092604167	0.205395833
a	0.2	7	0.093	0.092604167	0.000395833
a	0.02	7	0.237	0.092604167	0.144395833
a	0.002	7	0.329	0.092604167	0.236395833
a	0.0002	7	0.335	0.092604167	0.242395833
a	0.00002	7	0.334	0.092604167	0.241395833
a	0.000002	7	0.336	0.092604167	0.243395833
b	0.2	7	0.093	0.092604167	0.000395833
b	0.02	7	0.237	0.092604167	0.144395833
b	0.002	7	0.336	0.092604167	0.243395833
b	0.0002	7	0.343	0.092604167	0.250395833
b	0.00002	7	0.329	0.092604167	0.236395833
b	0.000002	7	0.367	0.092604167	0.274395833
c	0.2	7	0.091	0.092604167	-0.001604167
c	0.02	7	0.243	0.092604167	0.150395833
c	0.002	7	0.336	0.092604167	0.243395833
c	0.0002	7	0.338	0.092604167	0.245395833
c	0.00002	7	0.28	0.092604167	0.187395833
c	0.000002	7	0.318	0.092604167	0.225395833
d	0.2	7	0.09	0.092604167	-0.002604167
d	0.02	7	0.285	0.092604167	0.192395833
d	0.002	7	0.356	0.092604167	0.263395833
d	0.0002	7	0.33	0.092604167	0.237395833
d	0.00002	7	0.346	0.092604167	0.253395833
d	0.000002	7	0.337	0.092604167	0.244395833
e	0.2	7	0.1	0.092604167	0.007395833
e	0.02	7	0.275	0.092604167	0.182395833
e	0.002	7	0.334	0.092604167	0.241395833
e	0.0002	7	0.341	0.092604167	0.248395833
e	0.00002	7	0.311	0.092604167	0.218395833
e	0.000002	7	0.314	0.092604167	0.221395833
f	0.2	7	0.096	0.092604167	0.003395833
f	0.02	7	0.363	0.092604167	0.270395833
f	0.002	7	0.411	0.092604167	0.318395833
f	0.0002	7	0.403	0.092604167	0.310395833
f	0.00002	7	0.403	0.092604167	0.310395833
f	0.000002	7	0.414	0.092604167	0.321395833
g	0.2	7	0.091	0.092604167	-0.001604167
g	0.02	7	0.321	0.092604167	0.228395833
g	0.002	7	0.345	0.092604167	0.252395833
g	0.0002	7	0.334	0.092604167	0.241395833
g	0.00002	7	0.337	0.092604167	0.244395833
g	0.000002	7	0.364	0.092604167	0.271395833
h	0.2	7	0.089	0.092604167	-0.003604167
h	0.02	7	0.382	0.092604167	0.289395833
h	0.002	7	0.433	0.092604167	0.340395833
h	0.0002	7	0.423	0.092604167	0.330395833
h	0.00002	7	0.408	0.092604167	0.315395833
h	0.000002	7	0.439	0.092604167	0.346395833
a	0.2	8	0.093	0.092604167	0.000395833
a	0.02	8	0.332	0.092604167	0.239395833
a	0.002	8	0.448	0.092604167	0.355395833
a	0.0002	8	0.51	0.092604167	0.417395833
a	0.00002	8	0.515	0.092604167	0.422395833
a	0.000002	8	0.508	0.092604167	0.415395833
b	0.2	8	0.092	0.092604167	-0.000604167
b	0.02	8	0.365	0.092604167	0.272395833
b	0.002	8	0.46	0.092604167	0.367395833
b	0.0002	8	0.504	0.092604167	0.411395833
b	0.00002	8	0.472	0.092604167	0.379395833
b	0.000002	8	0.528	0.092604167	0.435395833
c	0.2	8	0.092	0.092604167	-0.000604167
c	0.02	8	0.362	0.092604167	0.269395833
c	0.002	8	0.484	0.092604167	0.391395833
c	0.0002	8	0.431	0.092604167	0.338395833
c	0.00002	8	0.399	0.092604167	0.306395833
c	0.000002	8	0.462	0.092604167	0.369395833
d	0.2	8	0.09	0.092604167	-0.002604167
d	0.02	8	0.436	0.092604167	0.343395833
d	0.002	8	0.484	0.092604167	0.391395833
d	0.0002	8	0.507	0.092604167	0.414395833
d	0.00002	8	0.49	0.092604167	0.397395833
d	0.000002	8	0.479	0.092604167	0.386395833
e	0.2	8	0.1	0.092604167	0.007395833
e	0.02	8	0.408	0.092604167	0.315395833
e	0.002	8	0.501	0.092604167	0.408395833
e	0.0002	8	0.502	0.092604167	0.409395833
e	0.00002	8	0.458	0.092604167	0.365395833
e	0.000002	8	0.473	0.092604167	0.380395833
f	0.2	8	0.096	0.092604167	0.003395833
f	0.02	8	0.49	0.092604167	0.397395833
f	0.002	8	0.599	0.092604167	0.506395833
f	0.0002	8	0.522	0.092604167	0.429395833
f	0.00002	8	0.591	0.092604167	0.498395833
f	0.000002	8	0.638	0.092604167	0.545395833
g	0.2	8	0.09	0.092604167	-0.002604167
g	0.02	8	0.467	0.092604167	0.374395833
g	0.002	8	0.526	0.092604167	0.433395833
g	0.0002	8	0.501	0.092604167	0.408395833
g	0.00002	8	0.464	0.092604167	0.371395833
g	0.000002	8	0.529	0.092604167	0.436395833
h	0.2	8	0.091	0.092604167	-0.001604167
h	0.02	8	0.485	0.092604167	0.392395833
h	0.002	8	0.592	0.092604167	0.499395833
h	0.0002	8	0.559	0.092604167	0.466395833
h	0.00002	8	0.563	0.092604167	0.470395833
h	0.000002	8	0.636	0.092604167	0.543395833
a	0.2	9	0.093	0.092604167	0.000395833
a	0.02	9	0.447	0.092604167	0.354395833
a	0.002	9	0.619	0.092604167	0.526395833
a	0.0002	9	0.648	0.092604167	0.555395833
a	0.00002	9	0.632	0.092604167	0.539395833
a	0.000002	9	0.723	0.092604167	0.630395833
b	0.2	9	0.093	0.092604167	0.000395833
b	0.02	9	0.48	0.092604167	0.387395833
b	0.002	9	0.597	0.092604167	0.504395833
b	0.0002	9	0.644	0.092604167	0.551395833
b	0.00002	9	0.624	0.092604167	0.531395833
b	0.000002	9	0.688	0.092604167	0.595395833
c	0.2	9	0.091	0.092604167	-0.001604167
c	0.02	9	0.465	0.092604167	0.372395833
c	0.002	9	0.613	0.092604167	0.520395833
c	0.0002	9	0.519	0.092604167	0.426395833
c	0.00002	9	0.555	0.092604167	0.462395833
c	0.000002	9	0.613	0.092604167	0.520395833
d	0.2	9	0.09	0.092604167	-0.002604167
d	0.02	9	0.53	0.092604167	0.437395833
d	0.002	9	0.624	0.092604167	0.531395833
d	0.0002	9	0.6	0.092604167	0.507395833
d	0.00002	9	0.641	0.092604167	0.548395833
d	0.000002	9	0.627	0.092604167	0.534395833
e	0.2	9	0.1	0.092604167	0.007395833
e	0.02	9	0.555	0.092604167	0.462395833
e	0.002	9	0.615	0.092604167	0.522395833
e	0.0002	9	0.598	0.092604167	0.505395833
e	0.00002	9	0.605	0.092604167	0.512395833
e	0.000002	9	0.65	0.092604167	0.557395833
f	0.2	9	0.096	0.092604167	0.003395833
f	0.02	9	0.607	0.092604167	0.514395833
f	0.002	9	0.709	0.092604167	0.616395833
f	0.0002	9	0.659	0.092604167	0.566395833
f	0.00002	9	0.692	0.092604167	0.599395833
f	0.000002	9	0.698	0.092604167	0.605395833
g	0.2	9	0.09	0.092604167	-0.002604167
g	0.02	9	0.549	0.092604167	0.456395833
g	0.002	9	0.674	0.092604167	0.581395833
g	0.0002	9	0.655	0.092604167	0.562395833
g	0.00002	9	0.632	0.092604167	0.539395833
g	0.000002	9	0.64	0.092604167	0.547395833
h	0.2	9	0.091	0.092604167	-0.001604167
h	0.02	9	0.606	0.092604167	0.513395833
h	0.002	9	0.746	0.092604167	0.653395833
h	0.0002	9	0.732	0.092604167	0.639395833
h	0.00002	9	0.718	0.092604167	0.625395833
h	0.000002	9	0.739	0.092604167	0.646395833
a	0.2	10	0.092	0.092604167	-0.000604167
a	0.02	10	0.585	0.092604167	0.492395833
a	0.002	10	0.748	0.092604167	0.655395833
a	0.0002	10	0.792	0.092604167	0.699395833
a	0.00002	10	0.779	0.092604167	0.686395833
a	0.000002	10	0.875	0.092604167	0.782395833
b	0.2	10	0.092	0.092604167	-0.000604167
b	0.02	10	0.574	0.092604167	0.481395833
b	0.002	10	0.746	0.092604167	0.653395833
b	0.0002	10	0.783	0.092604167	0.690395833
b	0.00002	10	0.772	0.092604167	0.679395833
b	0.000002	10	0.836	0.092604167	0.743395833
c	0.2	10	0.09	0.092604167	-0.002604167
c	0.02	10	0.592	0.092604167	0.499395833
c	0.002	10	0.743	0.092604167	0.650395833
c	0.0002	10	0.673	0.092604167	0.580395833
c	0.00002	10	0.693	0.092604167	0.600395833
c	0.000002	10	0.747	0.092604167	0.654395833
d	0.2	10	0.089	0.092604167	-0.003604167
d	0.02	10	0.626	0.092604167	0.533395833
d	0.002	10	0.764	0.092604167	0.671395833
d	0.0002	10	0.754	0.092604167	0.661395833
d	0.00002	10	0.782	0.092604167	0.689395833
d	0.000002	10	0.761	0.092604167	0.668395833
